Repeat,Fold,Model,Runtime_Sec,Accuracy,Precision,Recall,F1,Dataset,Task,MAE,RMSE,R2
1,1,Random Forest,0.3682991999958176,,,,,diabetes_regression,regression,43.9591011235955,55.038236167681085,0.4282520425547328
1,1,Gradient Boosting,0.03731840002001263,,,,,diabetes_regression,regression,44.43887797084058,53.493382821356676,0.4598980660617348
1,2,Linear Regression,0.009774500009370968,,,,,diabetes_regression,regression,41.582602747061,51.600752016027975,0.5732001497272167
1,2,Decision Tree,0.012171600013971329,,,,,diabetes_regression,regression,62.40555160122245,78.58183462693117,0.010179317277729805
1,2,Random Forest,0.36528460000408813,,,,,diabetes_regression,regression,43.47898876404494,54.263373156228816,0.5280176364100992
1,2,Gradient Boosting,0.03545070000109263,,,,,diabetes_regression,regression,46.185128925342774,56.81345258999054,0.48261413294665967
1,3,Linear Regression,0.009988200006773695,,,,,diabetes_regression,regression,47.223311159572404,57.552635811361924,0.3914478512548887
1,3,Decision Tree,0.01187220000429079,,,,,diabetes_regression,regression,65.59879326225669,81.83142431690943,-0.23029025554174898
1,3,Random Forest,0.3668654999928549,,,,,diabetes_regression,regression,51.37886363636364,62.634061728714066,0.27924358663582727
1,3,Gradient Boosting,0.035218700009863824,,,,,diabetes_regression,regression,52.2781465806103,61.894665150856525,0.29616023600561214
1,4,Linear Regression,0.00977269999566488,,,,,diabetes_regression,regression,42.122355060340055,52.8950238921937,0.5842888825400094
1,4,Decision Tree,0.011693199980072677,,,,,diabetes_regression,regression,65.01276419658774,83.82009336621239,-0.04389852596093924
1,4,Random Forest,0.3639475000090897,,,,,diabetes_regression,regression,48.871818181818185,59.10132847299397,0.48101298753765165
1,4,Gradient Boosting,0.03676479999558069,,,,,diabetes_regression,regression,49.65985845292732,58.45632003167466,0.49227920922094215
1,5,Linear Regression,0.010136400000192225,,,,,diabetes_regression,regression,47.62636803032458,58.342846973148774,0.3908118647948904
1,5,Decision Tree,0.01294779998715967,,,,,diabetes_regression,regression,62.014139766752,79.41575403703503,-0.1287285974048442
1,5,Random Forest,0.36929929998586886,,,,,diabetes_regression,regression,45.77386363636364,56.421832069606786,0.4302680579975737
