Repeat,Fold,Model,Runtime_Sec,MAE,RMSE,R2
2,5,Gradient Boosting,0.02008059099989623,49.74776704149702,59.84992535032434,0.4193835103533744
3,1,Linear Regression,0.004197973999907845,43.714179073263665,51.6294915544845,0.4814838500888643
3,1,Decision Tree,0.0052230060000511,58.808125549268965,73.64187386258558,-0.054912049687228626
3,1,Random Forest,0.12209633300017231,47.94112359550562,57.754580148156975,0.35115725424006017
3,1,Gradient Boosting,0.017718639000122494,46.55145796922989,55.799145365421104,0.3943500498929222
3,2,Linear Regression,0.004213807000041925,47.48533272989967,58.57930568055176,0.49557328014424695
3,2,Decision Tree,0.005056315000047107,54.72255833508312,72.67305445827776,0.2236519405314139
3,2,Random Forest,0.10317669300002308,47.00876404494382,58.39105795786032,0.4988100752954774
3,2,Gradient Boosting,0.01658359200018822,49.630711230382076,58.280113149884194,0.5007128185182844
3,3,Linear Regression,0.004334929999913584,44.16951460014308,55.07420919214987,0.5327591832360106
3,3,Decision Tree,0.005043254999918645,59.435195882760816,79.50708856295734,0.026231019987531523
3,3,Random Forest,0.12702336999996078,48.52136363636364,60.147908827852326,0.442704802894448
3,3,Gradient Boosting,0.02039001699995424,47.583656380725785,56.834438621095956,0.5024148806398834
3,4,Linear Regression,0.004391014000020732,45.88977467249941,57.800184194567535,0.3559020981973955
3,4,Decision Tree,0.004987050999943676,70.69977543290044,87.02025630804489,-0.4599371363532254
3,4,Random Forest,0.11401699699990786,48.79443181818181,58.22281619894699,0.3464484396236216
3,4,Gradient Boosting,0.01734183300004588,48.09271800227475,58.56513906648892,0.3387406934223167
3,5,Linear Regression,0.004210001000046759,43.00502936939928,52.80595884487764,0.5271295194436387
3,5,Decision Tree,0.004920320000110223,65.20743351130706,85.85279266281576,-0.24992855888834975
3,5,Random Forest,0.11704479500008347,48.77943181818182,60.69426816018132,0.3752997265358464
3,5,Gradient Boosting,0.017429903999982344,46.632973466945856,56.52219770888635,0.45823066773776133
4,1,Linear Regression,0.004374760000018796,48.2141389988123,58.25308098060845,0.4270038127035054
4,1,Decision Tree,0.00563702799991006,61.24837378601424,79.10509115085694,-0.05662967349335091
4,1,Random Forest,0.10296981200008304,48.95606741573034,59.92854118293392,0.39356906922756685
4,1,Gradient Boosting,0.015494552999825828,49.222358145426455,57.89390810564158,0.43404791118640496
4,2,Linear Regression,0.003658782999991672,40.97366213736482,51.15148489592492,0.5751951627952032
4,2,Decision Tree,0.004756012999905579,60.12598320896461,74.46372465835807,0.09975136038277876
4,2,Random Forest,0.10554340799990314,46.04179775280898,57.909650473625966,0.4555288788708053
